Sorted Source Address	Count
104.19.152.69			673
13.226.228.83			10
146.75.94.133			4
23.209.84.173			1
23.209.84.179			1
23.209.84.201			1
104.222.20.6			1
18.164.174.42			1
fe80::2ec8:1bff:febc:a18			1
2600:1406:4200:e::17c7:2f50			1

Overall Total Source Packets: 694



Sorted Destination Address	Count
104.19.152.69			524
13.226.228.83			15
146.75.94.133			4
18.164.174.42			3
23.209.84.173			1
23.209.84.179			1
23.209.84.201			1
104.222.20.6			1
fe80::2ec8:1bff:febc:a18			1
2600:1406:4200:e::17c7:2f50			1

Overall Total Destination Packets: 552

